address,frequency,current_address,lon,lat,note
荆州,417,unknown,unknown,unknown,None
东吴,246,unknown,unknown,unknown,None
汉中,215,unknown,unknown,unknown,None
上马,181,unknown,unknown,unknown,None
夏侯惇,161,unknown,unknown,unknown,None
徐州,141,unknown,unknown,unknown,None
成都,137,unknown,unknown,unknown,None
江东,136,unknown,unknown,unknown,None
许都,119,unknown,unknown,unknown,None
洛阳,107,unknown,unknown,unknown,None
关兴,97,unknown,unknown,unknown,None
祁山,92,unknown,unknown,unknown,None
朝廷,89,unknown,unknown,unknown,None
西川,89,unknown,unknown,unknown,None
襄阳,89,unknown,unknown,unknown,None
长安,85,unknown,unknown,unknown,None
英雄,82,unknown,unknown,unknown,None
樊城,80,unknown,unknown,unknown,None
江南,79,unknown,unknown,unknown,None
中原,79,unknown,unknown,unknown,None
甘宁,78,unknown,unknown,unknown,None
冀州,75,unknown,unknown,unknown,None
江夏,64,unknown,unknown,unknown,None
莫非,61,unknown,unknown,unknown,None
蜀中,60,unknown,unknown,unknown,None
大寨,59,unknown,unknown,unknown,None
南郡,57,unknown,unknown,unknown,None
河北,53,unknown,unknown,unknown,None
兖州,44,unknown,unknown,unknown,None
渡江,41,unknown,unknown,unknown,None
卧龙,41,unknown,unknown,unknown,None
东南,40,unknown,unknown,unknown,None
南安,39,unknown,unknown,unknown,None
汝南,38,unknown,unknown,unknown,None
平原,38,unknown,unknown,unknown,None
匹夫,38,unknown,unknown,unknown,None
立马,38,unknown,unknown,unknown,None
益州,38,unknown,unknown,unknown,None
泸水,37,unknown,unknown,unknown,None
馆驿,35,unknown,unknown,unknown,None
山坡,35,unknown,unknown,unknown,None
淮南,35,unknown,unknown,unknown,None
之士,33,unknown,unknown,unknown,None
剑阁,33,unknown,unknown,unknown,None
木牛流马,33,unknown,unknown,unknown,None
青州,32,unknown,unknown,unknown,None
西门,32,unknown,unknown,unknown,None
四海,31,unknown,unknown,unknown,None
南阳,30,unknown,unknown,unknown,None
长沙,30,unknown,unknown,unknown,None
哥哥,30,unknown,unknown,unknown,None
阳平关,30,unknown,unknown,unknown,None
陇西,29,unknown,unknown,unknown,None
辽东,29,unknown,unknown,unknown,None
下山,29,unknown,unknown,unknown,None
豫州,28,unknown,unknown,unknown,None
入川,28,unknown,unknown,unknown,None
东门,27,unknown,unknown,unknown,None
江陵,27,unknown,unknown,unknown,None
西北,26,unknown,unknown,unknown,None
定军山,26,unknown,unknown,unknown,None
雍州,26,unknown,unknown,unknown,None
大汉,25,unknown,unknown,unknown,None
南门,24,unknown,unknown,unknown,None
长江,24,unknown,unknown,unknown,None
山东,23,unknown,unknown,unknown,None
长坂,23,unknown,unknown,unknown,None
绵竹,23,unknown,unknown,unknown,None
白马,22,unknown,unknown,unknown,None
黄门,21,unknown,unknown,unknown,None
渡河,21,unknown,unknown,unknown,None
上山,21,unknown,unknown,unknown,None
濮阳,21,unknown,unknown,unknown,None
黎阳,21,unknown,unknown,unknown,None
南郑,21,unknown,unknown,unknown,None
北海,20,unknown,unknown,unknown,None
西南,20,unknown,unknown,unknown,None
桃园,19,unknown,unknown,unknown,None
太平,19,unknown,unknown,unknown,None
北门,19,unknown,unknown,unknown,None
常山,19,unknown,unknown,unknown,None
翼德,19,unknown,unknown,unknown,None
上城,19,unknown,unknown,unknown,None
新城,19,unknown,unknown,unknown,None
魏国,19,unknown,unknown,unknown,None
祁山寨,19,unknown,unknown,unknown,None
泰山,18,unknown,unknown,unknown,None
土山,18,unknown,unknown,unknown,None
大江,18,unknown,unknown,unknown,None
巴西,18,unknown,unknown,unknown,None
渭水,18,unknown,unknown,unknown,None
东川,17,unknown,unknown,unknown,None
武昌,17,unknown,unknown,unknown,None
潼关,17,unknown,unknown,unknown,None
杨阜,17,unknown,unknown,unknown,None
宛城,16,unknown,unknown,unknown,None
那马,16,unknown,unknown,unknown,None
扬州,16,unknown,unknown,unknown,None
江口,16,unknown,unknown,unknown,None
屯田,16,unknown,unknown,unknown,None
阆中,16,unknown,unknown,unknown,None
洮阳,16,unknown,unknown,unknown,None
离城,15,unknown,unknown,unknown,None
山川,15,unknown,unknown,unknown,None
渭南,15,unknown,unknown,unknown,None
两川,15,unknown,unknown,unknown,None
北原,15,unknown,unknown,unknown,None
颍川,14,unknown,unknown,unknown,None
四门,14,unknown,unknown,unknown,None
永安,14,unknown,unknown,unknown,None
广陵,14,unknown,unknown,unknown,None
中路,14,unknown,unknown,unknown,None
中国,14,unknown,unknown,unknown,None
九郡,14,unknown,unknown,unknown,None
柳城,14,unknown,unknown,unknown,None
桂阳,14,unknown,unknown,unknown,None
涪城,14,unknown,unknown,unknown,None
皖城,14,unknown,unknown,unknown,None
奉天,13,unknown,unknown,unknown,None
江中,13,unknown,unknown,unknown,None
江山,13,unknown,unknown,unknown,None
鞍马,13,unknown,unknown,unknown,None
