relationship,frequency
曹操 玄德 关公 张飞 董卓,1
玄德 关公 张飞 董卓,1
曹操 玄德 关公 张飞,2
玄德 关公 张飞,2
曹操 玄德 董卓,1
曹操 玄德,7
曹操 袁绍,18
吕布 董卓,5
袁绍 董卓,3
吕布 袁绍,1
曹操 吕布 袁绍 董卓,1
曹操 董卓,1
曹操 玄德 张飞 董卓,1
曹操 玄德 关公 袁绍,4
曹操 玄德 吕布 张飞 袁绍 董卓,1
吕布 袁绍 董卓,1
曹操 吕布 董卓,1
玄德 吕布 张飞,7
曹操 玄德 吕布 袁绍 董卓,1
吕布 张飞 董卓,1
曹操 玄德 吕布 张飞 袁绍 刘表 董卓,1
袁绍 刘表,3
袁绍 赵云,2
玄德 袁绍 赵云,1
玄德 袁绍 赵云 董卓,1
袁绍 刘表 董卓,1
曹操 玄德 吕布 张飞 袁绍 赵云 张辽 董卓,1
曹操 玄德 吕布 张辽,2
曹操 玄德 吕布 张飞 袁绍,1
玄德 关公 吕布 张飞 董卓,1
曹操 徐晃,5
曹操 玄德 关公 吕布 张飞,1
曹操 玄德 吕布,3
玄德 关公 吕布 张飞,2
曹操 玄德 吕布 张飞 袁绍 孙权 周瑜 刘表 董卓,1
玄德 吕布,4
玄德 吕布 张辽,2
曹操 玄德 关公 吕布 张飞 张辽,1
曹操 玄德 吕布 刘表,2
曹操 吕布 袁绍 刘表,2
曹操 吕布,3
吕布 张辽,1
曹操 刘表,2
曹操 袁绍 刘表,1
玄德 吕布 袁绍,1
曹操 玄德 关公 张飞 张辽,1
曹操 玄德 吕布 袁绍 刘表 张辽,1
玄德 关公 吕布 张飞 张辽,1
曹操 吕布 张飞 张辽,1
曹操 玄德 吕布 张飞 董卓,1
曹操 玄德 吕布 张飞 张辽,1
玄德 吕布 张辽 徐晃,1
曹操 吕布 袁绍,3
曹操 玄德 吕布 张辽 徐晃,1
曹操 玄德 吕布 徐晃,1
玄德 吕布 张辽 董卓,1
曹操 吕布 张辽,1
曹操 玄德 关公 董卓,1
曹操 关公,9
曹操 玄德 张飞 袁绍 刘表 张辽,1
曹操 玄德 袁绍 董卓,1
曹操 玄德 张飞,2
玄德 张飞 董卓,1
玄德 张飞,3
曹操 玄德 袁绍 刘表 张辽 徐晃,2
曹操 玄德 关公 张飞 袁绍 张辽 董卓 徐晃,1
曹操 关公 徐晃,1
玄德 关公 张辽,1
曹操 玄德 关公 张辽,2
曹操 玄德 关公,1
曹操 玄德 关公 吕布 袁绍 张辽,1
曹操 吕布 徐晃,1
